our_string	ourW	ourW_md	ourW_data	their_string	theirW	binding	comparison_res_rel	our_half_ulp_rel	their_file
11.7007173702388507	18	0	18	11.700717370238850657	20	OURS	5.0e-18	5.0e-18	data/machine1_l171_c30_refit.out
11.7007189455230763	18	0	18	11.700718945523076341	20	OURS	5.0e-18	5.0e-18	data/machine1_l171_c30_refit.out
3.25301161631896	15	15	15	3.2530116163189624	17	OURS	5.0e-15	5.0e-15	data/machine1_cycle15_adjudication.out
37.6335585772507021	18	18	18	37.633558577250691558	20	OURS	5.0e-18	5.0e-18	data/machine1_heat72w_kappa_a3.out
0.4712881774264843022174305813	28	28	0	0.471288177426484302217430581305	30	OURS	5.0e-28	5.0e-28	data/code/machine1_heat72v_cycle19_crosscheck.out
0.0513621518162436	15	15	0	0.051362151816243616	17	OURS	5.0e-15	5.0e-15	data/machine1_l175_sign_d4_graded_check.out
11.7007173554079789751	21	0	21	11.70071735540891911163	22	OURS	5.0e-21	5.0e-21	data/code/machine1_l171_c31b_check.out
2.07070935162e-9	12	0	12	2.070709351620e-09	13	OURS	5.0e-12	5.0e-12	data/machine1_heat74_cycle24_verify.out
2.36579031007e-7	12	0	12	2.365790310072e-07	13	OURS	5.0e-12	5.0e-12	data/machine1_heat74_cycle24_verify.out
4.04489975524e-9	12	0	12	4.044899755240e-09	13	OURS	5.0e-12	5.0e-12	data/machine1_heat74_cycle24_verify.out
4.225507067360901e-6	16	0	16	4.2255070673609006e-6	17	OURS	5.0e-16	5.0e-16	data/machine1_heat77b_d4_e3_dps45.out
4.92658310813e-6	12	0	12	4.926583108130e-06	13	OURS	5.0e-12	5.0e-12	data/machine1_heat74_cycle24_verify.out
5.16724214176e-6	12	0	12	5.167242141760e-06	13	OURS	5.0e-12	5.0e-12	data/machine1_heat74_cycle24_verify.out
67.079810529494173714478828896522216770107145	44	0	44	67.0798105294941737144788288965222167701071449	45	OURS	5.0e-44	5.0e-44	data/code/m3_L158_survivor_pilot_result.json
8.48600027288e-11	12	0	12	8.486000272880e-11	13	OURS	5.0e-12	5.0e-12	data/machine1_heat74_cycle24_verify.out
1.000000000	10	10	10	100000000.0	10	EQUAL	5.0e-10	5.0e-10	data/a13_extension.json
1000000000.0	11	0	11	1000000000.0	11	EQUAL	5.0e-11	5.0e-11	data/neff_population.json
1.004419853e-6	10	10	10	1.004419853e-6	10	EQUAL	5.0e-10	5.0e-10	data/machine1_heat77b_d4_e3_dps45.out
0.101539674703	12	0	12	0.101539674703	12	EQUAL	5.0e-12	5.0e-12	data/machine1_heat81_c26_bandlaw_verify.out
0.10281752906098004698	20	20	0	0.10281752906098004698	20	EQUAL	5.0e-20	5.0e-20	machine1-l132-identity-gap-solved-kernel-form-plus-contraction-a3-spec.md
0.102851814149	12	0	12	0.102851814149	12	EQUAL	5.0e-12	5.0e-12	data/code/letter132_scalar_identity_check_v2_corrected.py
1.05047976563e-4	12	12	12	0.000105047976563	12	EQUAL	5.0e-12	5.0e-12	data/machine1_heat77b_d4_e3_dps45.out
1.06882601372e-6	12	12	12	1.06882601372e-6	12	EQUAL	5.0e-12	5.0e-12	data/machine1_heat75_cycle25_verify.out
109.0990733637230410199	22	22	0	109.0990733637230410199	22	EQUAL	5.0e-22	5.0e-22	data/heat57_xsite_law.py
0.11055349900	11	11	0	0.11055349900	11	EQUAL	5.0e-11	5.0e-11	letter3-astra-pa-to-beast-2026-09-03.md
1.14884261642	12	0	12	1.14884261642	12	EQUAL	5.0e-12	5.0e-12	data/machine1_heat81_c26_bandlaw_verify.out
0.01150194453931563567155676941668683643768	40	0	40	0.01150194453931563567155676941668683643768	40	EQUAL	5.0e-40	5.0e-40	data/code/machine1_l171_c31b_check.py
11.700566955	11	11	11	11.700566955	11	EQUAL	5.0e-11	5.0e-11	data/heat72x_birthlocus_republication.out
11.700678560	11	11	11	11.700678560	11	EQUAL	5.0e-11	5.0e-11	machine1-l163-birth-locus-grid-complete-outcome-b-n6-graduates.md
11.700717241223173461	20	0	20	11.700717241223173461	20	EQUAL	5.0e-20	5.0e-20	data/machine1_l171_c30_refit.out
11.700717318	11	11	11	11.700717318	11	EQUAL	5.0e-11	5.0e-11	machine1-l164-cycle28-verified-n6-withdrawn-specrot-registered.md
11.70071732	10	10	10	11.70071732	10	EQUAL	5.0e-10	5.0e-10	machine1-l164-cycle28-verified-n6-withdrawn-specrot-registered.md
11.7007176099	12	12	0	11.7007176099	12	EQUAL	5.0e-12	5.0e-12	data/heat84_c28_legB_verify.out
11.7007190323	12	12	12	11.7007190323	12	EQUAL	5.0e-12	5.0e-12	data/heat84_c28_legB_verify.out
11.7007200919	12	12	12	11.7007200919	12	EQUAL	5.0e-12	5.0e-12	data/heat84_c28_legB_verify.out
11.70072012721689	16	12	16	11.70072012721689	16	EQUAL	5.0e-16	5.0e-16	data/heat84_c28_legB_verify.out
11.7012292209069374831573	24	0	24	11.7012292209069374831573	24	EQUAL	5.0e-24	5.0e-24	data/code/machine1_l171_c31b_check.py
11.7012292379679054259573	24	0	24	11.7012292379679054259573	24	EQUAL	5.0e-24	5.0e-24	data/code/machine1_l171_c31b_check.out
11.7014339872456960672521	24	0	24	11.7014339872456960672521	24	EQUAL	5.0e-24	5.0e-24	data/code/machine1_l171_c31b_check.py
11.701433995226010888216	23	0	23	11.701433995226010888216	23	EQUAL	5.0e-23	5.0e-23	data/code/machine1_l171_c31b_check.out
11.7017411436083767352848	24	0	24	11.7017411436083767352848	24	EQUAL	5.0e-24	5.0e-24	data/code/machine1_l171_c31b_check.py
11.7017411469155159129492	24	0	24	11.7017411469155159129492	24	EQUAL	5.0e-24	5.0e-24	data/code/machine1_l171_c31b_check.out
11.7021506982224613571416	24	0	24	11.7021506982224613571416	24	EQUAL	5.0e-24	5.0e-24	data/code/machine1_l171_c31b_check.py
