key	n_carriers	n_carriers_declaring_dps	working_precision_at_publication	guard_digits	knob_status	accuracy_at_publication	accuracy_status	example_carrier
332874374999	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
332916742468	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333097109245	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333234831340	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333293277876	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333309327341	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
333333176251	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333333333333	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
333423692245	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
333433468343	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333482275821	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333580086447	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
333642512776	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333721918323	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333723457668	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
333736402292	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
333796662169	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333808077094	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333850348290	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333860477543	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333927671805	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
333937296169	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
334058542478	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
334087847908	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
334200415687	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
334231285640	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
334388930639	2	2	40	-	POINT	-	UNMEASURED	data/machine2_cycle27_anchorblind_c2.json
334473385880	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
334583010185	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
3346313069	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle26_bandlaw.json
334638412058	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
334722129889	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_bands.json
334760663934	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
335094004876	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
